escenario;avg. trip duration [s]
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;218.38
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;219.24
escenario 1;220.43
escenario 1;220.43
escenario 1;220.43
escenario 1;220.43
escenario 1;220.43
escenario 1;220.43
escenario 1;220.43
escenario 1;220.43
escenario 1;220.43
escenario 1;220.43
escenario 1;220.43
escenario 1;221.29
escenario 1;221.29
escenario 1;221.29
escenario 1;221.29
escenario 1;221.29
escenario 1;221.29
escenario 1;221.29
escenario 1;221.29
